staff_pick,name_len_clean,blurb_len_clean,staff_pick.1,show_feature_image,video,goal_usd,project_duration_days
False,2,18,False,False,True,5000.0,30
True,9,17,False,False,True,250.0,20
False,5,22,False,False,True,16465.852672,18
False,3,17,False,False,True,20000.0,30
True,5,19,False,True,True,3500.0,30
False,5,25,False,False,False,400000.0,44
False,5,19,False,False,False,800.0,30
False,7,24,False,False,True,8000.0,30
False,9,18,False,False,True,1029.92776,30
False,8,19,False,False,True,133019.05375,37
False,11,21,False,False,True,11562921.6,60
False,6,20,False,False,True,7373.5655,29
False,5,19,False,False,True,1000.0,30
True,5,17,False,False,False,7563.0,30
True,6,12,False,False,False,3000.0,30
True,4,23,False,True,True,6500.0,29
False,9,11,False,False,False,15000.0,60
False,5,21,False,False,True,1600.0,18
False,6,22,False,False,True,5000.0,30
False,7,19,False,False,True,10000.0,29
True,9,15,False,False,True,1500.0,23
False,4,18,False,False,True,6500.0,29
False,6,18,False,True,True,527.63176675,30
False,2,20,False,False,False,6167.798650000001,20
True,4,20,False,False,False,4896.650079999999,30
False,8,20,False,False,True,75491.126,47
False,3,16,False,False,False,100.0,7
True,4,17,False,False,True,1500.0,30
True,7,20,False,False,True,60000.0,60
False,4,20,False,False,True,21000.0,30
False,7,20,False,False,True,18000.0,46
True,10,19,False,False,True,20000.0,30
False,5,19,False,False,False,3200.0,30
False,6,19,False,False,True,400.0,12
False,7,18,False,False,True,8000.0,30
False,7,18,False,False,True,1100.0,31
False,6,21,False,False,False,1000.0,60
False,3,10,False,False,False,35000.0,30
True,6,13,False,False,True,4500.0,30
False,4,21,False,False,False,12000.0,30
False,3,16,False,False,True,5000.0,15
False,4,17,False,False,False,5326.0,21
False,6,15,False,False,True,1600.0,21
False,4,23,False,False,True,500.0,11
False,2,24,False,False,True,3000.0,30
False,2,19,False,False,True,300.0,19
True,2,10,False,True,True,1448.0775,60
False,3,13,False,False,True,100000.0,30
False,6,17,False,False,False,900.0,30
False,5,22,False,False,True,700.0,38
False,2,22,False,False,False,90000.0,60
True,4,19,False,False,True,20000.0,29
False,3,23,False,False,True,690.79904,30
False,2,7,False,False,False,1098.6717,60
False,5,11,False,False,True,22825.769399999997,29
True,3,19,False,False,True,15900.981450000001,41
False,3,21,False,False,False,60000.0,60
False,4,19,False,False,True,35000.0,30
False,8,23,False,False,True,15000.0,35
True,8,14,False,False,True,4000.0,30
False,5,22,False,False,True,616.952625,45
False,3,23,False,False,True,0.76038978,58
False,6,23,False,False,False,6800.0,60
False,2,21,False,False,False,315.73496700000004,50
False,11,21,False,False,True,2906.4226535000003,30
False,5,23,False,False,True,15000.0,30
False,7,18,False,False,False,35010.206308,30
False,5,20,False,False,False,6042.69435,59
False,9,19,False,False,False,7406.34937,30
False,5,22,False,False,False,3000.0,30
False,4,17,False,False,False,3000.0,30
True,8,17,False,False,True,10000.0,29
False,4,17,False,False,True,500.0,30
False,9,13,False,False,True,7544.7213600000005,32
False,3,16,False,False,True,1.0,30
False,7,18,False,False,True,2017.0,45
False,8,22,False,False,False,1864.8296750000002,57
False,1,9,False,False,True,53956.291,58
False,6,18,False,False,False,48596.886399999996,59
False,2,14,False,False,False,615.224845,58
False,2,13,False,False,True,3000.0,29
False,5,22,False,False,True,10000.0,18
False,4,17,False,False,True,45000.0,45
False,2,18,False,False,False,5000.0,60
True,4,20,False,False,True,100.0,20
False,8,20,False,False,True,19000.0,57
False,5,18,False,False,True,6000.0,30
False,5,21,False,False,True,25000.0,52
False,4,9,False,False,False,3000.0,30
False,6,20,False,False,True,50000.0,30
False,6,23,False,False,True,13500.0,38
False,4,19,False,False,False,3500.0,45
False,5,10,False,False,True,1200.0,21
False,4,20,False,False,True,6000.0,30
False,3,17,False,False,True,100000.0,30
False,8,22,False,False,True,2500.0,30
False,7,23,False,True,True,130.0,30
True,4,17,False,False,False,1000.0,30
False,5,10,False,False,True,6315.0,29
False,3,14,False,False,True,1.0,58
False,2,14,False,False,False,1000.0,30
False,4,12,False,False,True,75000.0,30
False,5,20,False,False,True,10000.0,28
False,8,18,False,False,True,18420.0,21
False,8,18,False,False,False,300.0,30
False,8,21,False,False,False,3000.0,28
False,4,19,False,False,False,1000.0,11
False,8,14,False,False,False,50000.0,60
True,3,19,False,True,True,35000.0,20
False,4,14,False,False,True,1500.0,40
False,10,23,False,False,True,10673.2471,30
